target_index,target_date,model_id,candidate_id,window_days,beta,alpha,poisson_deviance,mae,rmse
5740,2021-09-08,M3_R1,M3R1_ADD_W365_A005,365,1,0.050000000000000003,0.76225006366396419,0.40495252059673298,0.48686217325904918
5741,2021-09-09,M3_R1,M3R1_ADD_W365_A005,365,1,0.050000000000000003,0.79014883637077316,0.41035575908829008,0.50703177761934271
5742,2021-09-10,M3_R1,M3R1_ADD_W365_A005,365,1,0.050000000000000003,0.77271901548874222,0.40492109160180434,0.50698706476739386
5743,2021-09-11,M3_R1,M3R1_ADD_W365_A005,365,1,0.050000000000000003,0.76248831539614093,0.40502434185117941,0.48692821304090667
5744,2021-09-12,M3_R1,M3R1_ADD_W365_A005,365,1,0.050000000000000003,0.89380717873121218,0.42654665412105497,0.59746145050215282
5745,2021-09-13,M3_R1,M3R1_ADD_W365_A005,365,1,0.050000000000000003,0.82817617366383156,0.41577538875426462,0.54501135992542959
5746,2021-09-14,M3_R1,M3R1_ADD_W365_A005,365,1,0.050000000000000003,0.82876199092544733,0.41590058675289249,0.54515639234280699
730,2007-10-05,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.78998784468593441,0.41036271479468533,0.50698927166715846
731,2007-10-06,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76263471886114009,0.40504263161910325,0.48696872941263913
732,2007-10-07,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.84523703204094247,0.42112171105669072,0.54496192755297024
733,2007-10-08,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81787587232806547,0.41579460975064025,0.526385723624751
734,2007-10-09,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.84563118476377308,0.42118445141185012,0.54505946890611745
735,2007-10-10,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.82796287124754964,0.41570585770034341,0.54495886390729131
736,2007-10-11,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76292214487987253,0.40512263986010844,0.48704856577471839
737,2007-10-12,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.73402626753182387,0.39940461792228532,0.46572625154087555
738,2007-10-13,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76223431744898373,0.40493700287381934,0.48685814722211673
739,2007-10-14,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.87316307110931402,0.42660914068767697,0.56306083663348938
740,2007-10-15,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.85620017499514744,0.42127743831127212,0.56313183937863975
741,2007-10-16,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76230478290125336,0.4049321776316821,0.48687808084251483
742,2007-10-17,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.84586098453186187,0.42127603057906171,0.5451163553125522
743,2007-10-18,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.82796706347365145,0.41570686425384357,0.54496002215758554
744,2007-10-19,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.73521069921759763,0.39973342132986905,0.46606834002186642
745,2007-10-20,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76307245149102287,0.40512852381452708,0.48708992217761898
746,2007-10-21,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.80042311363714225,0.41039236761665149,0.5263363457352721
